problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
SINQUAD2,OPTIMAL,24.24788999557495,1.1120681449482519e-6,148,116,106,0
SPARSINE,OPTIMAL,576.4601738452911,3.2242736706151768e-18,95,70,56,0
SPARSQUR,OPTIMAL,41.32876110076904,4.488230635883866e-9,23,23,22,0
SPIN2LS,OPTIMAL,0.20711302757263184,4.283097585097678e-17,24,14,11,0
SPINLS,OPTIMAL,27.832857847213745,1.9078772461737585e-7,50,37,33,0
SPMSRTLS,OPTIMAL,1.4087450504302979,8.422803160036708e-14,42,23,20,0
SROSENBR,OPTIMAL,0.2825510501861572,3.908581581505179e-11,22,16,15,0
SSBRYBND,OPTIMAL,42.83331298828125,1.1195311779693405e-14,26,17,16,0
SSCOSINE,NUMERICAL_ERROR,63.45963001251221,-4946.57635286371,180,178,171,0
TOINTGSS,OPTIMAL,0.17337894439697266,9.999999999860112,2,2,1,0
TQUARTIC,OPTIMAL,0.3981900215148926,3.929225239291215e-14,13,11,10,0
TRIDIA,OPTIMAL,0.2495710849761963,5.532791052341043e-25,3,3,2,0
VARDIM,OPTIMAL,0.05897998809814453,2.533290225573063e-24,30,30,29,0
VAREIGVL,OPTIMAL,137.81741213798523,2.288585063758155e-9,20,16,15,0
WOODS,OPTIMAL,0.8511178493499756,4.7896910129705945e-24,88,50,49,0
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
