problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
DIXMAANI1,OPTIMAL,0.19533514976501465,1.0,15,10,9,99
DIXMAANJ,OPTIMAL,0.4457688331604004,1.0000000134090083,58,27,26,586
DIXMAANK,OPTIMAL,0.462399959564209,1.0000000000000915,60,28,27,625
DIXMAANL,OPTIMAL,0.5016400814056396,1.0000000000036349,67,34,30,691
DIXMAANM1,OPTIMAL,0.20415091514587402,1.0,19,12,10,133
DIXMAANN,OPTIMAL,0.4411180019378662,1.0000000141149883,59,28,26,581
DIXMAANO,OPTIMAL,0.508080005645752,1.0000005301235213,68,31,30,715
DIXMAANP,OPTIMAL,0.5389070510864258,1.0000002758030309,79,37,36,793
DIXON3DQ,OPTIMAL,0.1844799518585205,3.0708433917430744e-23,4,4,3,15
DQDRTIC,OPTIMAL,0.1604290008544922,1.9806285734791293e-25,2,2,1,1
DQRTIC,OPTIMAL,0.22182512283325195,1.5463203490974303e-7,36,36,35,128
EDENSCH,OPTIMAL,0.1706700325012207,12003.284592020764,13,13,12,12
EG2,OPTIMAL,0.16658997535705566,-998.947393300945,4,4,3,4
EIGENALS,OPTIMAL,933.8591048717499,1.8998926703315855e-9,394,177,175,5494
EIGENBLS,OPTIMAL,1061.4070048332214,5.1050171373261396e-8,862,528,482,4891
EIGENCLS,OPTIMAL,1608.3706710338593,1.602826580514177e-12,1015,522,499,8251
ENGVAL1,OPTIMAL,0.17692804336547852,5548.668419416185,8,8,7,7
EXTROSNB,OPTIMAL,0.6087920665740967,3.674599660500506e-7,812,568,517,3242
FLETBV3M,OPTIMAL,0.7954208850860596,-229642.69937943388,115,109,105,1037
FLETCBV2,OPTIMAL,0.020294904708862305,-0.5002681698025423,1,1,1,0
FLETCBV3,ITERATION_LIMIT,490.40152883529663,-3.3160887900474e9,100001,100001,100000,922987
FLETCHBV,ITERATION_LIMIT,495.08334612846375,-3.308848001144194e17,100001,100001,100000,923186
FLETCHCR,OPTIMAL,2.6161129474639893,1.5164978477957693e-20,3480,1940,1939,15781
FMINSRF2,OPTIMAL,2.916393995285034,1.000023343204729,114,65,56,702
FMINSURF,OPTIMAL,1129.4617750644684,1.000000000000393,119,66,59,715
FREUROTH,OPTIMAL,0.1857008934020996,608159.1890463781,8,8,7,13
GENHUMPS,OPTIMAL,190.97898507118225,5.322274446498598e-13,31945,30736,29390,378543
GENROSE,OPTIMAL,0.5337309837341309,1.0,942,432,429,6050
INDEF,TRUST_REGION_SUBPROBLEM_ERROR,0.5511879920959473,-2.629642135719092e13,16,16,16,114
INDEFM,OPTIMAL,1.610016107559204,-1.0049998383487852e7,11,11,10,72
INTEQNELS,OPTIMAL,3.181306838989258,1.4865393340007616e-20,4,4,3,3
JIMACK,OPTIMAL,6.177839040756226,0.866793295287137,30,22,21,245
KSSLS,OPTIMAL,73.11879777908325,1.6339741998274833e-20,9,9,8,8
LIARWHD,OPTIMAL,0.18231797218322754,6.3807754778159845e-22,13,13,12,12
LRA9A,OPTIMAL,0.2781810760498047,0.3834896898183104,13,10,6,79
LRW1A,OPTIMAL,6.328582048416138,0.4697116201081351,1009,551,509,8236
LRW8A,OPTIMAL,2.187633991241455,2.422291060294287,43,26,22,316
LUKSAN11LS,OPTIMAL,0.20186591148376465,1.164625824405244e-15,564,389,379,1824
LUKSAN15LS,OPTIMAL,0.17020511627197266,3.5696970494344344,24,13,12,197
LUKSAN16LS,OPTIMAL,0.1682751178741455,3.5696970494344287,11,9,7,56
LUKSAN17LS,OPTIMAL,0.16997194290161133,0.49316129032256895,22,19,18,101
LUKSAN21LS,OPTIMAL,0.1668260097503662,3.1699080617349546e-14,32,18,17,184
LUKSAN22LC,OPTIMAL,0.1597130298614502,873.9404775269419,24,18,17,48
LUKSAN22LS,OPTIMAL,0.15980195999145508,868.9404775269421,24,18,17,38
MANCINO,OPTIMAL,0.1326580047607422,1.4155219109089968e-21,23,15,12,193
MODBEALE,OPTIMAL,0.28089094161987305,2.8610197559381826e-15,8,8,7,10
MOREBV,OPTIMAL,0.020190954208374023,1.0395423971692418e-11,1,1,1,0
MSQRTALS,OPTIMAL,11.313756942749023,1.8947953504547007e-18,72,39,36,589
MSQRTBLS,OPTIMAL,8.61181902885437,2.0970225404854595e-14,56,30,28,456
NCB20,OPTIMAL,6.519808053970337,-1457.9610800058185,169,78,77,1521
NCB20B,OPTIMAL,1.084995985031128,7351.30058494637,27,17,15,194
NONCVXU2,OPTIMAL,5795.760155916214,11584.442280177002,4289,1972,1937,38984
NONCVXUN,OPTIMAL,108.11177206039429,11599.206304070582,4042,1869,1830,36874
NONDIA,OPTIMAL,0.18103504180908203,2.529455044995371e-13,7,7,6,23
NONDQUAR,OPTIMAL,0.42700719833374023,6.296842784179594e-6,60,36,32,358
NONMSQRT,TRUST_REGION_SUBPROBLEM_ERROR,260.7767028808594,708.630543566397,1465,1395,1377,7460
OSCIGRAD,OPTIMAL,1.3218379020690918,6.275880095745307e-24,12,11,10,33
OSCIPATH,OPTIMAL,0.1638941764831543,0.9999666655201663,3,3,2,4
PATTERNLS,OPTIMAL,350.7378602027893,1.3050942748562515e-8,64,47,42,447
PENALTY1,OPTIMAL,3.0915470123291016,0.009686175432452086,52,44,41,71
PENALTY2,OPTIMAL,0.031213045120239258,4.711627727552183e13,11,11,10,10
PENALTY3,OPTIMAL,0.3832831382751465,0.000997138977050878,24,16,15,159
POWELLSG,OPTIMAL,0.185791015625,4.2185697780289144e-8,19,19,18,18
POWER,OPTIMAL,425.1200461387634,2.170303760844304e-11,38,38,37,37
QING,OPTIMAL,0.16502094268798828,3.3722710830021684e-22,23,14,13,137
QUARTC,OPTIMAL,0.21996712684631348,1.5463203490974303e-7,36,36,35,128
SBRYBND,OPTIMAL,0.4466819763183594,1.5990421652598373e-12,26,19,18,187
SCHMVETT,OPTIMAL,0.18667912483215332,-14994.0,5,5,4,9
SCOSINE,TRUST_REGION_SUBPROBLEM_ERROR,2.387648820877075,-4948.547409571221,282,280,268,3245
SCURLY10,OPTIMAL,4.881969213485718,-1.0031629024131879e6,137,88,87,1055
SCURLY20,OPTIMAL,10.571630001068115,-1.0031629024131879e6,131,89,88,937
SCURLY30,OPTIMAL,15.749674081802368,-1.0031629024131879e6,108,77,76,795
SENSORS,OPTIMAL,0.18970108032226562,-1944.0,46,39,37,342
SINQUAD,OPTIMAL,0.25671887397766113,-6.757013757335363e6,25,17,15,154
SINQUAD2,OPTIMAL,0.9229700565338135,1.0407555194365222e-6,159,122,117,933
SPARSINE,OPTIMAL,190.64038014411926,1.45266334755592e-8,63,49,40,588
SPARSQUR,OPTIMAL,39.730923891067505,4.488230635883866e-9,23,23,22,22
SPIN2LS,OPTIMAL,0.16349101066589355,3.6767712438931306e-10,30,18,16,287
SPINLS,OPTIMAL,5.92025899887085,1.4242156075685631e-9,48,39,37,230
SPMSRTLS,OPTIMAL,0.3608388900756836,1.0244963617684519e-12,26,14,13,202
SROSENBR,OPTIMAL,0.19631695747375488,5.2963441280546616e-20,23,17,16,55
SSBRYBND,OPTIMAL,0.3879878520965576,9.160536576312345e-14,23,17,15,134
SSCOSINE,OPTIMAL,1.5768840312957764,-4964.13912578811,189,189,182,2183
TOINTGSS,OPTIMAL,0.1661820411682129,9.999999999860112,2,2,1,1
TQUARTIC,OPTIMAL,0.2029409408569336,1.8362002717920385e-14,13,11,10,65
TRIDIA,OPTIMAL,0.17964720726013184,3.6747109496709487e-25,3,3,2,11
VARDIM,OPTIMAL,0.05899405479431152,2.533290225573063e-24,30,30,29,29
VAREIGVL,OPTIMAL,57.894492864608765,1.176343670022097e-9,20,16,15,39
WOODS,OPTIMAL,0.292100191116333,1.1725554539495478e-25,73,47,45,278
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
