problem_name,status,total_execution_time,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
FLETBV3M,SUCCESS,67.48581505,-229684.3383,1.55E-09,118,118,109,1351
FLETCBV2,SUCCESS,0.225750923,-0.5,0.00000441,1,1,1,1
FLETCBV3,MAX_TIME,18000,-832000000,31.61128896,200001,200001,200001,200001
FLETCHBV,MAX_TIME,18000,-7.27E+16,3110000000,200001,200001,200001,200001
FLETCHCR,SUCCESS,105.8735549,4.12E-14,0.00000798,2218,2218,1793,10896
FMINSRF2,SUCCESS,474.56814,0.999999997,1.02E-10,159,159,102,1863
FMINSURF,FAILURE,18000,2.31,0.548476184,200001,200001,200001,200001
FREUROTH,SUCCESS,19.36898804,608000,0.00000135,13,13,10,90
GENHUMPS,SUCCESS,15100.70163,9.15E-13,0.000000605,31631,31631,29918,449659
GENROSE,SUCCESS,22.33480191,1,1.61E-10,844,844,470,8602
INDEF,FAILURE,1133.857454,-3.74E+16,585.2696618,200001,200001,200001,200001
INDEFM,FAILURE,36.21630502,-6700000,236.038795,200001,200001,200001,200001
INTEQNELS,SUCCESS,15.334378,2.57E-12,0.00000396,4,4,3,9
JIMACK,SUCCESS,146.9831338,0.867,0.000000423,38,38,23,862
KSSLS,SUCCESS,1104.324786,1.68E-20,0.000000259,14,14,13,98
LIARWHD,SUCCESS,37.06233692,0,0,15,15,14,48
LUKSAN11LS,SUCCESS,1.993928909,1.18E-14,0.00000216,609,609,449,3609
LUKSAN15LS,SUCCESS,0.595211983,3.569696877,0.00000207,25,25,13,754
LUKSAN16LS,SUCCESS,0.374958992,3.569696877,9.71E-10,8,8,7,716
LUKSAN17LS,SUCCESS,0.029654026,0.49316129,0.000000706,18,18,17,52
LUKSAN21LS,SUCCESS,0.062472105,8.12E-20,7.71E-11,30,30,19,242
LUKSAN22LS,SUCCESS,0.080333948,868.9404775,0.00000972,26,26,20,153
MANCINO,SUCCESS,1.348304033,1.83E-21,0.00000012,16,16,13,176
MNISTS0LS,SUCCESS,4285.710919,300.0000626,0.00000652,54,54,37,776
MNISTS5LS,FAILURE,18000,1430,14.9369107,200001,200001,200001,200001
MODBEALE,SUCCESS,1654.320376,2.39E-16,0.000000132,22,22,16,178
MOREBV,SUCCESS,2.418159008,3.87E-12,2.96E-12,2,2,1,43
MSQRTALS,SUCCESS,172.790978,4.12E-13,0.000000125,44,44,31,518
MSQRTBLS,SUCCESS,185.8815351,1.91E-12,0.0000029,47,47,27,554
NCB20,FAILURE,433.988332,-1460,5.832526585,200001,200001,200001,200001
NCB20B,SUCCESS,54.35105681,7350,0.000000694,41,41,22,740
NONCVXUN,SUCCESS,3209.441807,11600,0.000000443,4093,4093,2219,47051
NONDIA,FAILURE,124.5652728,524246.5718,1020000,200001,200001,200001,200001
NONDQUAR,SUCCESS,34.03124499,1.05E-09,0.0000062,19,19,18,42
NONMSQRT,MAX_TIME,18000,709,0.063657665,200001,200001,200001,200001
OSCIGRAD,FAILURE,32.6451242,224000000,762000000,200001,200001,200001,200001
OSCIPATH,FAILURE,0.956585169,1,1,200001,200001,200001,200001
PENALTY1,SUCCESS,146.9502299,0.009686175,0.000000145,64,64,52,394
PENALTY2,FAILURE,32.38682795,4.71E+13,1.994794627,200001,200001,200001,200001
PENALTY3,SUCCESS,4.225656986,0.001,0.000000618,29,29,21,271
POWELLSG,SUCCESS,37.49010205,2.43E-08,0.00000325,21,21,20,68
POWER,SUCCESS,3227.782675,7.94E-11,0.0000086,39,39,38,105
QING,SUCCESS,0.086804867,2.48E-20,1.32E-09,18,18,13,139
QUARTC,FAILURE,49.2178359,3.45E+17,8.3E+12,200001,200001,200001,200001
SBRYBND,FAILURE,959.9880581,14400,13771.91458,200001,200001,200001,200001
SCHMVETT,SUCCESS,13.4295702,-15000,0.00000111,6,6,5,33
SCOSINE,FAILURE,397.898277,-3850,24091.66439,200001,200001,200001,200001
SCURLY10,FAILURE,1986.795327,NaN,NaN,200001,200001,200001,200001
SCURLY20,FAILURE,2534.958382,NaN,NaN,200001,200001,200001,200001
SCURLY30,FAILURE,3051.127887,NaN,NaN,200001,200001,200001,200001
SENSORS,SUCCESS,2.423730135,-1893.375,0.00000404,26,26,22,223
SINQUAD,SUCCESS,34.59842491,-6760000,0.000000167,26,26,16,251
SPARSINE,SUCCESS,1497.639523,6.42E-16,0.00000804,87,87,57,1330
SPARSQUR,SUCCESS,632.6529431,1.23E-08,0.00000606,24,24,23,65
SPIN2LS,SUCCESS,5.00067091,5.03E-15,0.00000265,21,21,11,845
SPINLS,SUCCESS,139.695343,3.77E-09,0.00000512,46,46,39,1065
SPMSRTLS,SUCCESS,61.71658897,2.45E-12,0.00000306,49,49,29,586
SROSENBR,SUCCESS,13.17148805,1.34E-26,5.02E-12,8,8,7,38
SSBRYBND,FAILURE,1492.331471,2290,633.0538085,200001,200001,200001,200001
SSCOSINE,FAILURE,186.1643028,-4960,2.401493289,200001,200001,200001,200001
TESTQUAD,SUCCESS,7.523404121,8.25E-25,9.89E-10,5,5,4,56
TOINTGSS,SUCCESS,11.41867614,9.999999999,7.42E-13,7,7,6,42
TQUARTIC,SUCCESS,18.96593285,7.66E-20,6.9E-10,11,11,10,81
TRIDIA,SUCCESS,7.666451931,6E-26,4.62E-11,5,5,4,50
VARDIM,SUCCESS,0.672243118,4.46E-23,2.19E-08,30,30,29,89
VAREIGVL,SUCCESS,449.7298429,2.43E-09,0.00000544,17,17,16,45
WOODS,SUCCESS,62.0950501,1.79E-15,0.00000175,72,72,53,545
BA-L49LS,MAX_TIME,18000,600000,4560000,200001,200001,200001,200001
BA-L52LS,MAX_TIME,18000,20800000,163673.2543,200001,200001,200001,200001
BA-L73LS,MAX_TIME,18242.04458,140000000,70300000,200001,200001,200001,200001
EIGENBLS,SUCCESS,12359.24483,0.0000019,0.00000812,712,712,481,8190
NONCVXU2,SUCCESS,12324.08882,11584.34811,1.6E-09,4207,4207,2276,48373
EIGENCLS,MAX_TIME,18000,177,20.26067304,200001,200001,200001,200001
YATP1CLS,FAILURE,18000,2540369480,16000000,200001,200001,200001,200001
YATP1LS,FAILURE,18000,2540369480,16000000,200001,200001,200001,200001
YATP2CLS,FAILURE,18000,7672672050,750000,200001,200001,200001,200001
YATP2LS,FAILURE,18000,7672672050,750000,200001,200001,200001,200001
