PROBLEM_NAME,CAT_I_FACTORIZATION,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION,ARC_FACTORIZATION,TRU_FACTORIZATION
MISRA1DLS,1378,43,12,24,23
MNISTS0LS,37,48,44,34,200001
MNISTS5LS,200001,64,73,69,200001
MODBEALE,16,18,18,200001,200001
MOREBV,1,2,2,2,1
MSQRTALS,31,32,33,25,28
MSQRTBLS,27,33,33,22,25
MUONSINELS,9,8,8,4,9
NCB20,200001,86,86,200001,200001
NCB20B,22,22,22,10,14
NELSONLS,200001,200001,69,200001,161
NONCVXU2,2276,200001,1989,200001,200001
NONCVXUN,2219,2004,1965,1670,1714
NONDIA,200001,5,5,5,988
NONDQUAR,18,18,18,18,18
NONMSQRT,200001,200001,200001,200001,200001
OSBORNEA,22887,14,15,29,27
OSBORNEB,33,19,19,17,18
OSCIGRAD,200001,10,10,12,10
OSCIPATH,200001,2,2,2,200001
PALMER1C,4,3,3,2,1
PALMER1D,4,2,2,5,1
PALMER2C,4,2,2,2,1
PALMER3C,4,2,2,2,1
PALMER4C,4,2,2,3,1
PALMER5C,4,1,1,2,1
PALMER5D,4,2,2,3,1
PALMER6C,4,3,3,3,1
PALMER7C,5,3,3,4,1
PALMER8C,5,3,3,4,1
PARKCH,18,13,13,17,15
PENALTY1,52,42,42,39,40
PENALTY2,200001,10,10,10,10
PENALTY3,21,16,16,20,200001
POWELLBSLS,3253,117,232,108,92
POWELLSG,20,19,19,18,18
POWELLSQLS,8,22,22,9,10
POWER,38,37,200001,37,200001
POWERSUM,200001,200001,200001,351,34
PRICE3,11,10,10,10,10
PRICE4,8,8,8,8,11
QING,13,10,10,10,30
QUARTC,200001,36,36,65,35
RAT42LS,4,17,17,24,200001
RAT43LS,200001,25,25,470,17
RECIPELS,16,15,15,20,20
ROSENBR,28,22,22,19,21
ROSENBRTU,130,44,45,44,48
ROSZMAN1LS,1286,168,197,36,23
S308,13,8,8,9,8
S308NE,1,1,1,1,1
SBRYBND,200001,20,20,200001,200001
SCHMVETT,5,5,5,3,3
SCOSINE,200001,200001,200001,200001,200001
SCURLY10,200001,200001,200001,200001,805
SCURLY20,200001,200001,200001,200001,200001
SCURLY30,200001,200001,200001,200001,200001
SENSORS,22,20,20,14,13
SINEVAL,62,48,48,43,43
SINQUAD,16,10,12,200001,200001
SISSER,12,12,12,12,12
SNAIL,92,73,73,62,63
SPARSINE,57,16,14,9,106
SPARSQUR,23,22,22,22,22
SPIN2LS,11,19,19,6,7
SPINLS,39,36,63,35,200001
SPMSRTLS,29,22,21,20,17
SROSENBR,7,8,8,7,8
SSBRYBND,200001,18,18,200001,200001
SSCOSINE,200001,73,73,57,200001
SSI,1341,245,24004,95456,200001
STRATEC,26,20,200001,200001,200001
STREG,30,15,15,11,21
STRTCHDV,12,19,19,12,7
TESTQUAD,4,2,2,2,1
THURBERLS,21,25,19,17,200001
TOINTGOR,7,6,6,6,6
TOINTGSS,6,7,7,866,1
TOINTPSP,19,21,21,18,16
TOINTQOR,3,1,1,2,1
TQUARTIC,10,9,11,10,10
TRIDIA,4,3,3,2,1
TRIGON1,11,5,5,6,6
TRIGON2,14,11,11,12,11
VANDANMSLS,5,7,7,13,2
VARDIM,29,29,29,29,29
VAREIGVL,16,16,16,21,22
VESUVIALS,6607,564,17,42,200001
VESUVIOLS,26,15,12,200001,200001
VESUVIOULS,22,11,9,21,18
VIBRBEAM,66,27,22,27,43
WATSON,11,14,15,14,16
WAYSEA1,14,14,14,14,14
WAYSEA2,29,22,22,22,22
WOODS,53,44,46,39,39
YATP1CLS,200001,200001,200001,200001,200001
YATP1LS,200001,200001,200001,200001,200001
YATP2CLS,200001,200001,200001,200001,200001
YATP2LS,200001,200001,200001,200001,200001
YFITU,106,49,41,38,42
ZANGWIL2,2,1,1,3,1
