problem_name,status,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
DJTL,OPTIMAL,0,170,-8951.544724,2.13624E-07,171,75,72,1578
EG2,OPTIMAL,0,8,-998.9473933,3.56643E-10,5,5,4,73
EGGCRATE,OPTIMAL,0,6,9.488197339,6.86191E-06,7,6,5,26
ELATVIDU,OPTIMAL,0,11,54.75111864,1.82034E-09,12,12,11,11
ENGVAL2,OPTIMAL,0,19,9.38626E-20,2.11303E-08,20,16,15,95
ENSOLS,OPTIMAL,0,10,788.5397867,5.26361E-07,11,9,8,54
ERRINROS,OPTIMAL,0,48,40.40449073,7.15222E-08,49,30,28,334
EXPFIT,OPTIMAL,0,12,0.240510594,1.60469E-10,13,8,7,88
EXTROSNB,OPTIMAL,1.999999839,873,3.09197E-07,9.93511E-06,874,615,547,5739
FBRAIN3LS,OPTIMAL,12.9999999,1485,0.244810467,9.46952E-06,1486,1022,1007,15483
GAUSS2LS,OPTIMAL,0,8,1247.528209,1.92719E-06,9,9,8,46
GAUSS3LS,OPTIMAL,0,15,1244.484636,2.24664E-10,16,15,12,112
GAUSSIAN,OPTIMAL,0,1,1.12927E-08,1.94538E-06,2,2,1,1
GBRAINLS,OPTIMAL,0,6,28.51585819,4.35601E-11,7,7,6,23
GENROSE,OPTIMAL,3.000000073,930,1,6.1581E-13,931,418,412,8656
GROWTHLS,OPTIMAL,0,161,1.004040584,1.46747E-07,153,106,98,1205
HATFLDD,OPTIMAL,0,28,6.61511E-08,2.44951E-08,29,22,21,104
HATFLDFL,OPTIMAL,0,64,6.28258E-05,6.44303E-06,65,43,40,732
HATFLDFLS,OPTIMAL,0,44,1.23522E-17,3.08375E-09,45,32,27,287
HATFLDGLS,OPTIMAL,0,17,1.22898E-17,3.48919E-09,18,13,12,108
HEART6LS,OPTIMAL,1.999999839,2539,3.06501E-25,5.5108E-09,2522,1522,1490,29898
HEART8LS,OPTIMAL,0,388,8.15095E-19,4.34215E-08,384,174,167,4357
HELIX,OPTIMAL,0,13,8.98825E-21,8.90226E-10,14,10,9,65
HIELOW,OPTIMAL,0,7,874.1654321,2.85212E-09,8,7,6,42
HILBERTA,OPTIMAL,0,1,2.95823E-31,2.22045E-16,2,2,1,1
HIMMELBB,OPTIMAL,0,10,0,0,10,10,9,124
HIMMELBCLS,OPTIMAL,0,7,4.05789E-23,5.007E-11,8,7,6,26
HIMMELBG,OPTIMAL,0,7,2.92373E-19,1.66938E-09,8,7,6,24
HIMMELBH,OPTIMAL,0,6,-1,7.86424E-11,7,6,5,20
HUMPS,OPTIMAL,0,166,3.27709E-11,2.56211E-06,167,122,116,2185
HYDC20LS,OPTIMAL,0.999999605,480,1.75871E-05,7.5657E-06,481,380,364,5177
HYDCAR6LS,OPTIMAL,0,374,2.33171E-07,4.53295E-06,374,312,282,4022
JENSMP,OPTIMAL,0,9,124.3621824,4.80283E-06,10,10,9,9
JUDGE,OPTIMAL,0,8,16.08173013,1.92223E-06,9,9,8,8
KIRBY2LS,OPTIMAL,0,17,3.905073962,4.19017E-06,18,18,16,165
KOWOSB,OPTIMAL,0,12,0.000307801,2.72985E-08,13,10,8,88
KSSLS,OPTIMAL,498.0000001,9,1.61193E-21,7.9804E-08,10,10,9,23
LANCZOS1LS,OPTIMAL,0,208,4.29104E-06,5.84231E-06,209,117,110,2292
LANCZOS2LS,OPTIMAL,0,189,4.29822E-06,3.94254E-07,190,109,101,2094
LOGHAIRY,OPTIMAL,1.000000234,257,0.182321557,3.3739E-06,258,190,189,3148
LSC1LS,OPTIMAL,0,22,7.711852239,1.33426E-10,23,15,13,220
LSC2LS,OPTIMAL,0,168,13.41557546,9.98498E-06,169,162,161,1116
LUKSAN11LS,OPTIMAL,0,497,2.84725E-14,1.94511E-06,498,377,357,1522
LUKSAN12LS,OPTIMAL,0,59,4292.196891,1.08862E-07,60,30,29,591
LUKSAN13LS,OPTIMAL,6.000000145,32,25188.85959,1.48303E-07,33,20,19,241
LUKSAN14LS,OPTIMAL,0,19,123.9235408,8.09105E-09,20,14,12,117
LUKSAN15LS,OPTIMAL,0,43,3.569696877,9.23695E-10,19,16,15,596
LUKSAN16LS,OPTIMAL,0,7,3.569696877,1.22073E-11,8,8,7,55
LUKSAN22LS,OPTIMAL,0,23,868.9404775,7.77942E-07,24,18,17,58
MANCINO,OPTIMAL,0,13,3.10657E-19,1.56537E-06,14,11,10,133
MARATOSB,OPTIMAL,0,1142,-1.000000062,9.34266E-11,1143,769,754,6615
METHANL8LS,OPTIMAL,0,82,9.59811E-22,2.09613E-10,82,66,56,897
MEXHAT,OPTIMAL,0,35,-0.04001,8.48168E-06,36,34,28,138
MEYER3,TRUST_REGION_RADIUS_LIMIT,18000,1266,87.94585517,0.001100078,200001,200001,200001,200001
MGH10LS,ITERATION_LIMIT,18000,100001,1212896121,116593156.5,200001,200001,200001,200001
MGH10SLS,ITERATION_LIMIT,18000,100001,1206876804,161626539.8,200001,200001,200001,200001
MGH17LS,OPTIMAL,0,22,1.022388658,5.43581E-06,22,12,10,288
MISRA1BLS,OPTIMAL,0,67,0.075464682,2.08921E-06,68,68,67,627
MISRA1CLS,OPTIMAL,0,50,0.040966837,8.4653E-06,51,51,50,486
MISRA1DLS,OPTIMAL,0,43,0.056419295,2.06038E-06,44,44,43,408
MNISTS0LS,OPTIMAL,1280,87,296.0000261,4.87356E-06,88,53,48,826
MUONSINELS,OPTIMAL,0,8,47472.893,1.02318E-12,9,9,8,39
NELSONLS,ITERATION_LIMIT,18000,100001,6.6555701,7514.673194,200001,200001,200001,200001
OSBORNEA,OPTIMAL,0,23,5.46489E-05,7.90014E-06,19,16,14,240
OSBORNEB,OPTIMAL,0,33,0.040137736,1.76724E-07,34,20,19,270
PALMER1D,OPTIMAL,0,2,0.652673985,1.45953E-08,3,3,2,10
PALMER3C,OPTIMAL,0,2,0.019537639,6.46107E-09,3,3,2,8
PALMER5C,OPTIMAL,0,1,2.128086643,2.07103E-13,2,2,1,1
PALMER5D,OPTIMAL,0,2,87.33939475,6.18009E-12,3,3,2,12
PALMER7C,OPTIMAL,0,3,0.601987195,5.77712E-08,4,4,3,26
PARKCH,OPTIMAL,28.00000026,22,1623.743258,9.92699E-08,23,15,13,207
PENALTY1,OPTIMAL,14.99999973,52,0.009686175,3.46027E-08,53,44,42,109
PENALTY2,OPTIMAL,0,10,4.71163E+13,6.37768E-08,11,11,10,10
POWELLBSLS,OPTIMAL,0,122,6.23869E-07,8.50893E-06,123,123,117,1109
PRICE3,OPTIMAL,0,11,3.62523E-18,2.02213E-08,12,11,10,35
PRICE4,OPTIMAL,0,11,4.87327E-16,2.83943E-06,12,9,8,65
QING,OPTIMAL,0,17,8.23211E-15,6.44236E-07,18,11,10,151
RAT42LS,OPTIMAL,0,24,8.056522934,3.52597E-10,25,18,17,224
RAT43LS,OPTIMAL,0,43,8786.404908,3.13571E-07,44,27,25,426
RECIPELS,OPTIMAL,0,17,1.8477E-08,6.33918E-06,18,18,15,47
ROSENBR,OPTIMAL,0,32,1.89336E-20,5.17765E-09,33,23,22,97
ROSZMAN1LS,OPTIMAL,0,169,0.000682526,5.12106E-06,169,169,168,1453
S308,OPTIMAL,0,11,0.773199056,1.15762E-06,12,9,8,40
SENSORS,OPTIMAL,0.999999605,25,-1966.78125,7.20773E-06,26,23,20,287
SINEVAL,OPTIMAL,0,78,1.26094E-21,1.14988E-09,79,51,48,348
SISSER,OPTIMAL,0,12,1.06579E-08,5.51563E-06,13,13,12,12
SNAIL,OPTIMAL,0,129,5.52837E-16,4.7025E-08,130,76,73,716
SPIN2LS,OPTIMAL,1.999999839,49,2.89654E-22,4.93367E-10,20,20,19,736
SSI,OPTIMAL,0,323,1.67904E-05,8.73624E-06,324,250,245,3079
STRATEC,OPTIMAL,17.99999981,27,2212.262291,2.13473E-11,28,24,20,184
STREG,OPTIMAL,0,32,3.10546E-21,5.14908E-11,33,16,15,94
STRTCHDV,OPTIMAL,0,47,2.61875E-09,5.13582E-06,20,20,19,669
TOINTQOR,OPTIMAL,0,1,1175.472222,3.21842E-14,2,2,1,1
TRIGON1,OPTIMAL,0,7,7.20325E-17,5.1859E-08,8,6,5,54
VANDANMSLS,OPTIMAL,0,7,9.622964803,8.26859E-06,8,8,7,66
VESUVIOLS,OPTIMAL,0,19,991.4100029,1.74823E-07,19,16,15,194
VESUVIOULS,OPTIMAL,0,11,0.477113769,1.66616E-09,12,12,11,96
VIBRBEAM,OPTIMAL,0,39,0.156446071,3.40844E-07,40,30,27,468
WATSON,OPTIMAL,0,19,5.18247E-06,8.70698E-06,18,18,14,235
WAYSEA1,OPTIMAL,0,14,2.695E-15,1.37164E-06,15,15,14,14
YFITU,OPTIMAL,0,65,6.66972E-13,1.21366E-11,66,57,49,420
ZANGWIL2,OPTIMAL,0,1,-18.20000001,0,2,2,1,1
